id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
107172814,2022/02/21 9:53 PM NZDT,2022-02-21,2022-02-21 08:53:00 UTC,Auckland,3890043,andrewmaungakotukutuku,"",2022-02-21 09:27:21 UTC,2024-08-06 05:25:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107172814,,https://static.inaturalist.org/sounds/359901.mp3?1645435537,"","Tonight, three Ruru making their calls from different parts of our little valley",2,0,false,,"Maungakotukutuku, New Zealand",-40.9578373026,175.0239005283,231,,,,231,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
107875725,Fri Mar 04 2022 22:34:49 GMT+1300 (GMT+13),2022-03-04,2022-03-04 09:34:49 UTC,Nuku'alofa,762458,benknight,Ben Knight,2022-03-04 09:35:07 UTC,2024-07-31 19:44:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/107875725,,https://static.inaturalist.org/sounds/365216.m4a?1646386510,"","",2,0,false,3,"Riwai Street, Paraparaumu, Wellington, NZ",-40.92150399,175.0049849589,8,,,,8,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
108258937,2022/03/09 9:52 AM NZDT,2022-03-09,2022-03-08 20:52:00 UTC,Auckland,5410363,rob_dixon,,2022-03-09 20:53:39 UTC,2024-08-10 20:49:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/108258937,,https://static.inaturalist.org/sounds/368234.wav?1646859183,"",,2,0,false,,"Wilton, Wellington, New Zealand",-41.2642286061,174.7557597323,122,,,,122,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
108576284,2022-03-14 22:51:18,2022-03-14,2022-03-14 09:51:18 UTC,Wellington,69103,simonoosterman,Simon Oosterman Beckers,2022-03-14 09:53:17 UTC,2024-08-05 19:04:15 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/108576284,,https://static.inaturalist.org/sounds/370449.mp3?1647251601,"","Finally, after a year, two moreporks, not just one. You can just hear the slightly different calls.",2,0,false,2,"515 West Coast Road, Glen Eden, Auckland 0602, New Zealand",-36.9088783333,174.624445,6,,,,6,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
109798963,2022/03/24 8:01 AM UTC,2022-03-24,2022-03-24 08:01:00 UTC,UTC,133536,mikemoroney,Mike Moroney,2022-03-29 00:58:44 UTC,2024-10-27 14:20:59 UTC,research,,https://www.inaturalist.org/observations/109798963,,https://static.inaturalist.org/sounds/380856.wav?1648515305,"",40 years ago we used to hear them. Now they're back due to the Orokonui Ecosanctuary Halo Project.,2,0,false,,"69 Kauri Street, Ravensbourne, Dunedin 9022, New Zealand",-45.860891,170.5591183,178,,,,178,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
112603380,Thu Feb 24 2022 05:01:08 GMT-0500 (EST),2022-02-24,2022-02-23 16:01:08 UTC,Wellington,4057009,frostykiwi,,2022-04-24 00:19:09 UTC,2024-08-04 19:02:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/112603380,,https://static.inaturalist.org/sounds/402707.m4a?1650759554,"","",2,0,false,3,"Rotorua, Okere Falls, Bay of Plenty, NZ",-37.9817695916,176.393758203,7,,,,7,,open,false,,,Morepork,Ninox novaeseelandiae,Ruru (Morepork),Aves,979817
112646284,2022-04-24 21:54:04+12:00,2022-04-24,2022-04-24 09:54:04 UTC,Wellington,817169,stacey64,,2022-04-24 09:54:31 UTC,2024-07-29 23:09:17 UTC,research,,https://www.inaturalist.org/observations/112646284,,https://static.inaturalist.org/sounds/403036.m4a?1650794073,"","",2,0,false,3,"Rue Lavaud, Akaroa, Canterbury, NZ",-43.8060347888,172.9678848656,7,,,,7,,open,false,,,Morepork,Ninox novaeseelandiae,Ruru (Morepork),Aves,979817
113071627,2022/04/27 7:10 PM,2022-04-27,2022-04-27 07:10:00 UTC,Wellington,57510,bevan,Bevan Weir,2022-04-27 09:43:12 UTC,2024-10-25 15:48:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/113071627,,https://static.inaturalist.org/sounds/406571.mp3?1651052462,"",bird calling at evening,1,0,false,,"Kereru Street, Henderson, Auckland 0612, New Zealand",-36.8841688,174.6376558,192,,,,192,,open,false,,,Morepork,Ninox novaeseelandiae,Ruru (Morepork),Aves,979817
113338208,2022-04-29 18:36:37,2022-04-29,2022-04-29 06:36:37 UTC,Wellington,58645,naturewatchwidow,"",2022-04-29 08:16:05 UTC,2024-07-30 02:47:42 UTC,research,CC-BY,https://www.inaturalist.org/observations/113338208,,https://static.inaturalist.org/sounds/408324.m4a?1651220168,"",,2,0,false,2,"Karori, Wellington, New Zealand",-41.3082700828,174.7329796012,10,,,,10,,open,false,,,Morepork,Ninox novaeseelandiae,Ruru (Morepork),Aves,979817
114577883,Mon May 02 2022 18:06:37 GMT+1200 (GMT+12),2022-05-02,2022-05-02 06:06:37 UTC,Wellington,117691,dbiaggio,Daniela Biaggio,2022-05-02 06:06:43 UTC,2024-07-30 16:48:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/114577883,,https://static.inaturalist.org/sounds/419245.m4a?1651471605,"","",2,0,false,3,"Woodmancote Road, Khandallah, Wellington, NZ",-41.2419038176,174.7883263242,39,,,,39,,open,false,,,Morepork,Ninox novaeseelandiae,Ruru (Morepork),Aves,979817
